Second,acc0,acc1,accumulator_fans_current,auto_breaking_voltage,auto_steering_voltage,b1_ready_to_drive,b2_data_logging,b3,b4,bms_fault,bms_state,brake1_psi,brake2_psi,brake_percent,bus_voltage,buzzer_state,command_torque_limited,coolant_pump_current,current,direction_value,error0,error1,error10,error11,error12,error13,error14,error15,error16,error17,error18,error19,error2,error20,error21,error22,error23,error24,error25,error26,error27,error28,error29,error3,error30,error31,error32,error33,error34,error35,error36,error37,error38,error39,error4,error40,error41,error42,error43,error44,error45,error46,error47,error48,error49,error5,error50,error51,error52,error53,error54,error55,error56,error57,error58,error59,error6,error60,error61,error62,error63,error7,error8,error9,flags,gpio_sense,imd_fault,inverter_dicharge,inverter_enable,lidar_current,lv_current,ping_lv_nodes,radiator_fans_current,relay_state,s1_coolant_pump,s2_radiator_fan,s3_accumulator_fan,shutdown_voltage,speed_mode_enabled,speed_signal,torque_signal_small,voltage
0,2988.0,23040.0,155.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26038.0,1.0,0.0,147.0,595.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,152.0,979.0,2.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,25898.0
1,2990.0,23040.0,156.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26041.0,1.0,0.0,147.0,598.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,985.0,5.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,25908.0
2,2989.0,23040.0,156.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26036.0,1.0,0.0,148.0,584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,25905.0
3,2990.0,23040.0,155.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26041.0,1.0,0.0,148.0,496.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,152.0,986.0,3.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,25900.0
4,2989.0,23040.0,155.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,89.0,11.0,26036.0,1.0,0.0,147.0,535.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,152.0,984.0,6.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,25900.0
5,2989.0,23040.0,155.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26038.0,1.0,0.0,147.0,453.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,981.0,1.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,25902.0
6,2988.0,23040.0,155.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26036.0,1.0,0.0,147.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,980.0,6.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,25898.0
7,2991.0,23040.0,154.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26035.0,1.0,0.0,148.0,553.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,152.0,983.0,1.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,25893.0
8,2989.0,23040.0,154.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,89.0,11.0,26030.0,1.0,0.0,148.0,596.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,990.0,3.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,25898.0
9,2988.0,22784.0,154.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,90.0,11.0,26036.0,1.0,0.0,147.0,431.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,25891.0
